bioproject_accession	sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2
	04-054-3G	04-054-3G	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	04-054-3G_R1.fastq	04-054-3G_R2.fastq
	04-054-3B	04-054-3B	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	04-054-3B_R1.fastq	04-054-3B_R2.fastq
	04-208-1B	04-208-1B	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	04-208-1-B_R1.fastq	04-208-1-B_R2.fastq
	04-208-1G	04-208-1G	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	04-208-1-G_R1.fastq	04-208-1-G_R2.fastq
	04-054-3T	04-054-3T	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	04-054-3T_R1.fastq	04-054-3T_R2.fastq
	04-162-5G	04-162-5G	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	04-162-5G_R1.fastq	04-162-5G_R2.fastq
	04-139-5B	04-139-5B	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	04-139-5B_R1.fastq	04-139-5B_R2.fastq
	04-139-5G	04-139-5G	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	04-139-5G_R1.fastq	04-139-5G_R2.fastq
	04-162-5T	04-162-5T	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	04-162-5T_R1.fastq	04-162-5T_R2.fastq
	04-139-5T	04-139-5T	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	04-139-5T_R1.fastq	04-139-5T_R2.fastq
	03-115-7TI	03-115-7TI	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	03-115-7TI_R1.fastq	03-115-7TI_R2.fastq
	04-116-2T	04-116-2T	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	04-116-2T_R1.fastq	04-116-2T_R2.fastq
	03-272-3SI	03-272-3SI	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	03-272-3-SI_R1.fastq	03-272-3-SI_R2.fastq
	04-116-2B	04-116-2B	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	04-116-2B_R1.fastq	04-116-2B_R2.fastq
	04-116-2G	04-116-2G	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	04-116-2G_R1.fastq	04-116-2G_R2.fastq
	03-181-7SI	03-181-7SI	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	03-181-7-SI_R1.fastq	03-181-7-SI_R2.fastq
	04-073-8T	04-073-8T	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	04-073-8T_R1.fastq	04-073-8T_R2.fastq
	04-138-4G	04-138-4G	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	04-138-4G_R1.fastq	04-138-4G_R2.fastq
	03-150-8SI	03-150-8SI	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	03-150-8-SI_R1.fastq	03-150-8-SI_R2.fastq
	04-138-4B	04-138-4B	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	04-138-4B_R1.fastq	04-138-4B_R2.fastq
	03-125-1SI	03-125-1SI	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	03-125-1SI_R1.fastq	03-125-1SI_R2.fastq
	04-138-4T	04-138-4T	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	04-138-4T_R1.fastq	04-138-4T_R2.fastq
	04-023-4B	04-023-4B	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	04-023-4B_R1.fastq	04-023-4B_R2.fastq
	04-091-6G	04-091-6G	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	04-091-6G_R1.fastq	04-091-6G_R2.fastq
	04-063-7T	04-063-7T	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	04-063-7T_R1.fastq	04-063-7T_R2.fastq
	03-146-6TI	03-146-6TI	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	03-146-6-TI_R1.fastq	03-146-6-TI_R2.fastq
	028-1-F1T	028-1-F1T	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	028-1-F1T_R1.fastq	028-1-F1T_R2.fastq
	04-063-7G	04-063-7G	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	04-063-7G_R1.fastq	04-063-7G_R2.fastq
	04-091-6T	04-091-6T	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	04-091-6T_R1.fastq	04-091-6T_R2.fastq
	04-063-7B	04-063-7B	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	04-063-7B_R1.fastq	04-063-7B_R2.fastq
	027-4-F1T	027-4-F1T	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	027-4-F1T_R1.fastq	027-4-F1T_R2.fastq
	03-178-6SI	03-178-6SI	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	03-178-6-SI_R1.fastq	03-178-6-SI_R2.fastq
	03-146-6SI	03-146-6SI	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	03-146-6-SI_R1.fastq	03-146-6-SI_R2.fastq
	01-263-4TI	01-263-4TI	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	01-263-4-TI_R1.fastq	01-263-4-TI_R2.fastq
	01-247-3G	01-247-3G	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	01-247-3-G_R1.fastq	01-247-3-G_R2.fastq
	02-099-7T	02-099-7T	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	02-099-7T_R1.fastq	02-099-7T_R2.fastq
	04-042-7B	04-042-7B	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	04-042-7B_R1.fastq	04-042-7B_R2.fastq
